PIN Solred (4 números);NÚMERO TARJETA;MATRÍCULA;N Tarjeta 2;Pin filtered
'0113';************00012';'VUELTA-001';0012;0113
'1309';'************00020';'VUELTA-002';0020;1309
'2767';'************00038';'VUELTA-003';0038;2767
'5815';'************00046';'VUELTA-004';0046;5815
'0464';'************00053';'VUELTA-005';0053;0464
'4983';'************00061';'VUELTA-006';0061;4983
'1247';'************00079';'VUELTA-007';0079;1247
'6319';'************00087';'VUELTA-008';0087;6319
'9730';'************00095';'VUELTA-009';0095;9730
'6172';'************00103';'VUELTA-010';0103;6172
'3972';'************00111';'VUELTA-011';0111;3972
'9866';'************00129';'VUELTA-012';0129;9866
'2377';'************00137';'VUELTA-013';0137;2377
'1085';'************00145';'VUELTA-014';0145;1085
'6617';'************00152';'VUELTA-015';0152;6617
'7030';'************00160';'VUELTA-016';0160;7030
'2409';'************00178';'VUELTA-017';0178;2409
'7239';'************00186';'VUELTA-018';0186;7239
'7587';'************00194';'VUELTA-019';0194;7587
'1665';'************00202';'VUELTA-020';0202;1665
'2861';'************00210';'VUELTA-021';0210;2861
'8877';'************00228';'VUELTA-022';0228;8877
'4922';'************00236';'VUELTA-023';0236;4922
'6567';'************00244';'VUELTA-024';0244;6567
'9114';'************00251';'VUELTA-025';0251;9114
'3583';'************00269';'VUELTA-026';0269;3583
'1503';'************00277';'VUELTA-027';0277;1503
'8645';'************00285';'VUELTA-028';0285;8645
'7120';'************00293';'VUELTA-029';0293;7120
'6122';'************00301';'VUELTA-030';0301;6122
'5079';'************00319';'VUELTA-031';0319;5079
'4103';'************00327';'VUELTA-032';0327;4103
'3181';'************00335';'VUELTA-033';0335;3181
'5819';'************00343';'VUELTA-034';0343;5819
'2321';'************00350';'VUELTA-035';0350;2321
'5380';'************00368';'VUELTA-036';0368;5380
'6815';'************00376';'VUELTA-037';0376;6815
'0760';'************00384';'VUELTA-038';0384;0760
'6143';'************00392';'VUELTA-039';0392;6143
'1202';'************04022';'VUELTA-040';4022;1202
'3558';'************00418';'VUELTA-041';0418;3558
'1040';'************04030';'VUELTA-042';4030;1040
'2476';'************04048';'VUELTA-043';4048;2476
'7696';'************04055';'VUELTA-044';4055;7696
'7544';'************04063';'VUELTA-045';4063;7544
'7528';'************00467';'VUELTA-046';0467;7528
'7997';'************00475';'VUELTA-047';0475;7997
'6442';'************00483';'VUELTA-048';0483;6442
'7602';'************00491';'VUELTA-049';0491;7602
'1667';'************04071';'VUELTA-050';4071;1667
'9198';'************04089';'VUELTA-051';4089;9198
'7691';'************04097';'VUELTA-052';4097;7691
'3861';'************04105';'VUELTA-053';4105;3861
'6284';'************00541';'VUELTA-054';0541;6284
'7349';'************00558';'VUELTA-055';0558;7349
'8758';'************00566';'VUELTA-056';0566;8758
'0959';'************00574';'VUELTA-057';0574;0959
'2745';'************04113';'VUELTA-058';4113;2745
'4959';'************04121';'VUELTA-059';4121;4959
'5832';'************00608';'VUELTA-060';0608;5832
'6186';'************00616';'VUELTA-061';0616;6186
'6167';'************00624';'VUELTA-062';0624;6167
'3123';'************00632';'VUELTA-063';0632;3123
'9604';'************00640';'VUELTA-064';0640;9604
'3760';'************00657';'VUELTA-065';0657;3760
'3060';'************00665';'VUELTA-066';0665;3060
'9350';'************00673';'VUELTA-067';0673;9350
'7617';'************00681';'VUELTA-068';0681;7617
'4086';'************00699';'VUELTA-069';0699;4086
'8757';'************00707';'VUELTA-070';0707;8757
'3401';'************00715';'VUELTA-071';0715;3401
'4677';'************00723';'VUELTA-072';0723;4677
'7516';'************00731';'VUELTA-073';0731;7516
'8294';'************00749';'VUELTA-074';0749;8294
'7737';'************00756';'VUELTA-075';0756;7737
'4410';'************00764';'VUELTA-076';0764;4410
'3348';'************00772';'VUELTA-077';0772;3348
'5719';'************00780';'VUELTA-078';0780;5719
'6007';'************00798';'VUELTA-079';0798;6007
'2591';'************00806';'VUELTA-080';0806;2591
'3806';'************00814';'VUELTA-081';0814;3806
'8410';'************00822';'VUELTA-082';0822;8410
'9436';'************00830';'VUELTA-083';0830;9436
'6805';'************00848';'VUELTA-084';0848;6805
'6925';'************00855';'VUELTA-085';0855;6925
'1015';'************04139';'VUELTA-086';4139;1015
'7077';'************04147';'VUELTA-087';4147;7077
'3727';'************00889';'VUELTA-088';0889;3727
'3450';'************00897';'VUELTA-089';0897;3450
'2935';'************00905';'VUELTA-090';0905;2935
'5500';'************00913';'VUELTA-091';0913;5500
'5647';'************00921';'VUELTA-092';0921;5647
'0435';'************00939';'VUELTA-093';0939;0435
'2661';'************00947';'VUELTA-094';0947;2661
'9223';'************00954';'VUELTA-095';0954;9223
'1064';'************00962';'VUELTA-096';0962;1064
'8642';'************00970';'VUELTA-097';0970;8642
'8660';'************00988';'VUELTA-098';0988;8660
'4925';'************00996';'VUELTA-099';0996;4925
'2256';'************01002';'VUELTA-100';1002;2256
'3374';'************04154';'VUELTA-101';4154;3374
'9360';'************01028';'VUELTA-102';1028;9360
'6415';'************01036';'VUELTA-103';1036;6415
'7375';'************01044';'VUELTA-104';1044;7375
'0730';'************01051';'VUELTA-105';1051;0730
'9602';'************01069';'VUELTA-106';1069;9602
'0274';'************01077';'VUELTA-107';1077;0274
'5525';'************01085';'VUELTA-108';1085;5525
'6723';'************01093';'VUELTA-109';1093;6723
'0364';'************01101';'VUELTA-110';1101;0364
'7277';'************01119';'VUELTA-111';1119;7277
'5096';'************01127';'VUELTA-112';1127;5096
'7196';'************01135';'VUELTA-113';1135;7196
'2280';'************01143';'VUELTA-114';1143;2280
'5935';'************01150';'VUELTA-115';1150;5935
'0706';'************01168';'VUELTA-116';1168;0706
'2454';'************01176';'VUELTA-117';1176;2454
'1296';'************01184';'VUELTA-118';1184;1296
'8787';'************01192';'VUELTA-119';1192;8787
'8013';'************01200';'VUELTA-120';1200;8013
'8523';'************01218';'VUELTA-121';1218;8523
'3644';'************01226';'VUELTA-122';1226;3644
'5027';'************01234';'VUELTA-123';1234;5027
'1883';'************01242';'VUELTA-124';1242;1883
'0894';'************01259';'VUELTA-125';1259;0894
'7384';'************01267';'VUELTA-126';1267;7384
'6740';'************01275';'VUELTA-127';1275;6740
'9240';'************01283';'VUELTA-128';1283;9240
'7700';'************01291';'VUELTA-129';1291;7700
'6491';'************01309';'VUELTA-130';1309;6491
'5480';'************01317';'VUELTA-131';1317;5480
'5747';'************01325';'VUELTA-132';1325;5747
'2605';'************01333';'VUELTA-133';1333;2605
'0124';'************01341';'VUELTA-134';1341;0124
'7516';'************01358';'VUELTA-135';1358;7516
'7448';'************01366';'VUELTA-136';1366;7448
'4916';'************01374';'VUELTA-137';1374;4916
'3313';'************01382';'VUELTA-138';1382;3313
'9918';'************01390';'VUELTA-139';1390;9918
'8992';'************01408';'VUELTA-140';1408;8992
'6117';'************01416';'VUELTA-141';1416;6117
'1419';'************01424';'VUELTA-142';1424;1419
'6896';'************01432';'VUELTA-143';1432;6896
'4875';'************01440';'VUELTA-144';1440;4875
'7270';'************01457';'VUELTA-145';1457;7270
'6137';'************01465';'VUELTA-146';1465;6137
'5028';'************01473';'VUELTA-147';1473;5028
'8282';'************01481';'VUELTA-148';1481;8282
'0911';'************01499';'VUELTA-149';1499;0911
'4547';'************01507';'VUELTA-150';1507;4547
'5325';'************01515';'VUELTA-151';1515;5325
'0207';'************01523';'VUELTA-152';1523;0207
'5582';'************01531';'VUELTA-153';1531;5582
'8856';'************01549';'VUELTA-154';1549;8856
'0293';'************01556';'VUELTA-155';1556;0293
'9714';'************01564';'VUELTA-156';1564;9714
'8647';'************01572';'VUELTA-157';1572;8647
'3974';'************01580';'VUELTA-158';1580;3974
'6734';'************01598';'VUELTA-159';1598;6734
'7890';'************01606';'VUELTA-160';1606;7890
'2660';'************01614';'VUELTA-161';1614;2660
'3983';'************01622';'VUELTA-162';1622;3983
'8493';'************01630';'VUELTA-163';1630;8493
'4147';'************01648';'VUELTA-164';1648;4147
'7166';'************01655';'VUELTA-165';1655;7166
'8967';'************01663';'VUELTA-166';1663;8967
'0061';'************01671';'VUELTA-167';1671;0061
'4466';'************01689';'VUELTA-168';1689;4466
'2487';'************01697';'VUELTA-169';1697;2487
'1494';'************01705';'VUELTA-170';1705;1494
'7975';'************01713';'VUELTA-171';1713;7975
'3955';'************01721';'VUELTA-172';1721;3955
'8357';'************01739';'VUELTA-173';1739;8357
'3567';'************01747';'VUELTA-174';1747;3567
'7249';'************01754';'VUELTA-175';1754;7249
'3618';'************01762';'VUELTA-176';1762;3618
'6340';'************01770';'VUELTA-177';1770;6340
'7566';'************01788';'VUELTA-178';1788;7566
'2928';'************01796';'VUELTA-179';1796;2928
'4092';'************01804';'VUELTA-180';1804;4092
'7652';'************01812';'VUELTA-181';1812;7652
'2562';'************01820';'VUELTA-182';1820;2562
'7691';'************01838';'VUELTA-183';1838;7691
'5363';'************01846';'VUELTA-184';1846;5363
'2126';'************01853';'VUELTA-185';1853;2126
'7582';'************01861';'VUELTA-186';1861;7582
'7694';'************01879';'VUELTA-187';1879;7694
'7979';'************01887';'VUELTA-188';1887;7979
'5465';'************01895';'VUELTA-189';1895;5465
'5025';'************01903';'VUELTA-190';1903;5025
'7509';'************01911';'VUELTA-191';1911;7509
'5384';'************01929';'VUELTA-192';1929;5384
'4420';'************01937';'VUELTA-193';1937;4420
'6938';'************01945';'VUELTA-194';1945;6938
'6861';'************01952';'VUELTA-195';1952;6861
'8244';'************01960';'VUELTA-196';1960;8244
'4768';'************01978';'VUELTA-197';1978;4768
'4738';'************01986';'VUELTA-198';1986;4738
'0382';'************01994';'VUELTA-199';1994;0382
'9936';'************02000';'VUELTA-200';2000;9936
'0375';'************02018';'VUELTA-201';2018;0375
'9596';'************02026';'VUELTA-202';2026;9596
'2981';'************02034';'VUELTA-203';2034;2981
'6681';'************02042';'VUELTA-204';2042;6681
'1606';'************02059';'VUELTA-205';2059;1606
'0799';'************02067';'VUELTA-206';2067;0799
'2735';'************02075';'VUELTA-207';2075;2735
'2777';'************02083';'VUELTA-208';2083;2777
'5260';'************02091';'VUELTA-209';2091;5260
'7848';'************02109';'VUELTA-210';2109;7848
'5846';'************02117';'VUELTA-211';2117;5846
'4370';'************02125';'VUELTA-212';2125;4370
'4350';'************02133';'VUELTA-213';2133;4350
'9637';'************02141';'VUELTA-214';2141;9637
'0887';'************02158';'VUELTA-215';2158;0887
